price,bedrooms,bathrooms,sqft_living,sqft_lot
225000,3,1,1300,8316
480000,2,1,1030,3060
363000,3,2.5,2740,11872
2.40E+06,4,2.5,3650,8354
181000,2,1.5,720,5120
250000,4,2,2010,7312
481000,3,1.75,1560,3000
260000,3,2,1810,7209
455000,4,2.5,3360,7685
415000,3,2.25,1510,36224
349500,3,1,1400,3538
245000,3,2.5,1730,7442
592500,2,2,1420,9191
385000,4,1.75,2360,7620
315000,3,1.75,1580,11455
255000,3,1,1230,10170
693000,4,2.5,2460,4425
780000,3,1,1660,4400
237000,3,1.75,1270,8470
525000,3,2.25,2100,40510
425000,2,1,770,5040
369900,1,0.75,760,10079
290000,4,2.5,1700,7280
285000,3,1,1120,10701
415000,2,1,1070,4500
272500,3,2.5,2070,9900
2.90E+06,4,3.25,5050,20100
1.37E+06,4,4.75,5310,57346
436000,2,1,1040,7538
210000,3,1,1700,11390
236000,3,1,1300,5898
331000,3,1.75,1080,1306
365000,3,2.5,2653,4510
450000,3,2,2290,16258
770000,4,2.75,3820,26300
455000,4,2.5,2210,49375
405000,3,1.75,2390,6000
304900,4,1.75,2600,11325
170000,2,1,860,5265
2.05E+06,5,3,3830,8480
780000,4,2.5,3500,7048
330000,3,3,2420,13959
370000,4,2.5,2720,8666
467000,5,2.25,2500,13500
405000,3,1.75,1670,6720
675000,5,2.25,2900,10300
500000,2,1,1640,14100
389999,4,2.5,1890,15770
630000,4,1.75,2950,9025
360000,4,2.5,2160,9528
580000,4,3,3280,11060
550000,3,2,1970,4166
879000,4,2.5,3360,22111
265000,3,2,1320,8959
446500,3,2.5,2650,7286
404000,3,1.5,2030,8880
267500,3,1.75,1590,11914
3.08E+06,4,5,4550,18641
335000,3,2.5,2440,7632
576000,3,2.5,1940,9000
208633,3,2.5,2040,3810
315000,3,2.25,2200,8750
725000,3,1.75,1920,3300
550000,4,2.75,1800,7750
610750,4,2.25,2180,7297
550700,2,1,1010,5000
665000,4,2.75,3320,10574
834000,4,2.5,2370,4000
201000,5,1.75,1660,78408
2.38E+06,5,2.5,3650,9050
1.38E+06,4,3.25,4290,12103
1.40E+06,4,3.25,4290,12103
305000,4,2.25,1950,7700
487000,3,2,2590,14052
390000,3,2.5,1930,64904
548000,2,1,1470,3864
268750,4,1,800,8775
819900,5,2.75,3150,7119
520000,3,2.25,2030,16200
230000,3,2,1450,11204
240000,3,1.75,1510,10248
232000,2,1,1240,12092
240500,2,1,1240,12092
274975,3,2.5,3030,45004
740000,4,2,2050,4400
186375,3,1,1000,7636
790000,3,2.25,2370,10289
880000,4,3.5,2800,6750
279000,6,1.75,2240,11180
295000,3,2,1810,10530
640000,2,1,1070,5000
940000,4,2,2490,9525
260000,4,2.5,1960,5238
559900,3,2.75,2930,5569
791500,4,2,1510,3500
265000,3,1.75,1420,8250
245000,3,1.75,1740,11547
485000,4,1.75,2560,43995
684000,4,3.5,3040,8414
425000,3,1.75,2500,6840
309600,4,1.75,1275,20000
552250,4,2.5,2580,5823
165000,4,1,1000,7134
239900,4,1,1000,7134
320000,2,1,1070,32633
206600,3,2,1390,13464
387000,4,1.75,2500,7690
299000,1,0.75,560,12120
855000,4,2.75,2270,10460
315000,3,1,1900,14400
437500,2,1,990,3120
252000,4,1.5,1550,19800
375000,4,1.75,2200,7475
300000,4,2.5,1910,4862
420000,4,1,1750,9600
900000,3,1,1330,77972
679900,3,2.5,2440,5750
463000,3,2.5,1640,29970
380000,5,2.5,2760,11340
329500,4,2.5,1820,7912
604950,3,2.5,2110,5608
795000,5,2.5,3040,9570
465000,3,2,1840,40438
673000,4,2.5,2990,10400
810000,4,2.5,3520,15420
785000,4,2.75,2440,69415
338000,4,3,2090,7500
280000,3,2.25,1430,7222
315000,4,2.25,2180,10754
530000,4,2.25,2180,10754
380000,5,3,3450,9914
297000,3,2.25,1450,7562
730000,4,2.5,3230,7331
450000,3,1.75,1640,13500
275000,3,3,1590,7750
595000,4,2,2020,2849
435000,3,1.5,1300,3348
270000,2,1.5,1380,209959
950000,3,3,4040,14338
389000,4,2.25,2130,5337
560000,4,2.25,2550,7800
1.35E+06,5,3.5,4800,14984
799000,4,2.25,2510,11585
365500,3,2,1410,9600
252350,3,2,1650,7352
403950,4,2.5,2120,13780
385000,4,1.5,2040,10726
345000,4,1,1550,7620
490000,3,2.75,1980,3128
330000,3,2.5,1600,26977
927000,4,2.75,3300,12090
1.12E+06,4,2.5,3840,16619
330000,2,1,1220,10000
530000,5,2.25,2720,8800
365000,4,2,1940,25600
378750,3,2.5,2160,3000
269900,4,1.75,1530,8750
557000,3,3.5,1710,2096
360000,4,1.75,3730,16980
352000,2,1,940,5000
437000,3,2.5,1750,22357
322500,4,2.5,1820,6753
650000,3,3.25,1510,2000
450000,3,2,1290,1213
278500,3,2,1570,5250
364950,4,2.5,1930,6957
840000,4,3.5,2840,40139
268000,3,2.5,1550,8134
517534,2,1,833,143947
632925,3,2.5,2990,32239
577500,3,2.5,2000,7251
339000,4,1.5,2390,7480
570000,3,1.75,2910,37461
563500,4,1.75,2085,174240
423000,4,2.25,2200,9351
355000,3,2.25,1860,5028
1.55E+06,5,4.25,6070,171626
482000,2,1,950,3960
625000,3,1.75,1600,9135
538000,3,2.5,2250,11632
380000,3,2.5,2280,10255
375000,2,1,940,5120
245000,3,2.5,1530,8500
310000,5,1.75,2190,27260
1.30E+06,3,2,2350,15021
397000,4,2,1440,7680
365000,3,2.5,2200,4052
328500,4,3,2290,8250
988000,4,3,4040,19700
1.00E+06,4,2.5,2610,3277
237000,3,2.5,1490,2138
525000,4,2.5,2450,5280
749000,4,2.5,1710,9627
722500,5,2.5,4870,11800
843000,3,2.5,3130,8750
438000,2,2,1270,1372
578000,3,1.75,2120,10875
227950,3,1.5,1670,8230
196000,3,2.25,2070,11576
641000,2,1,1420,5332
350000,3,1.5,1250,219978
205000,3,1,940,7980
400000,3,1.75,1920,9102
1.03E+06,3,2.5,3545,9816
505000,3,2,1260,5460
475000,5,2.5,2340,7200
520000,3,2.25,2590,9263
1.45E+06,3,4.5,3970,24920
333500,3,1.75,1220,9732
232000,3,1,1400,10403
691100,3,2.75,2360,16117
811000,3,1.75,1870,9897
551000,3,2.5,2830,5802
496500,3,2.5,2260,3640
705000,3,3,1970,20978
578000,4,2.5,3140,9225
255000,3,1.75,1240,8659
1.05E+06,4,3.5,3450,7832
348000,3,2.25,2570,8491
230000,3,2,1510,3413
359500,4,2.25,2390,11250
330000,3,1,980,7000
80000,1,0.75,430,5050
465000,3,1.75,1480,6360
325000,4,2.5,1850,7324
340500,3,2,2270,28025
342500,3,2.5,1810,5192
290900,2,2,1610,17600
868700,3,4.25,3840,6161
1.20E+06,4,2.75,4110,8400
1.15E+06,4,3.25,4190,10259
859900,4,2.75,3390,6298
520000,4,2.25,1890,3006
460000,3,2.5,1610,2527
438924,3,1.5,1050,4590
315000,2,1,630,6550
590000,4,2.75,2910,10650
378500,4,1.75,1700,8640
328500,3,2.5,1950,8130
849950,3,3,2990,9773
525000,3,1.5,1350,6000
1.39E+06,4,3.25,4860,181319
295000,4,2.5,2160,7725
1.07E+06,6,3.5,4860,11793
207950,2,2,890,5000
699900,4,2.75,2810,7302
1.28E+06,5,2.5,3400,9500
452000,4,1.5,1580,7350
370000,3,2,1680,5036
232000,3,1.75,1300,11230
669950,5,2.5,2820,14062
397500,3,2,1510,6710
490000,2,2.5,1230,1391
725000,4,2,2110,4140
299000,3,2.75,3080,19635
625000,2,1.5,1490,5750
437500,3,2.5,2120,4500
650000,4,2.5,3180,5438
475000,2,1,1490,3825
342000,3,2,1930,11947
1.20E+06,4,2.5,2770,7800
280000,3,1.5,1670,11610
240000,2,1.75,1330,7200
529000,3,1,1210,3328
442000,3,1,1190,5100
615000,2,1,1540,6872
1.49E+06,4,3.75,4030,10800
585000,4,1.75,2430,7559
480000,4,2.5,2600,7787
1.10E+06,5,3.5,4410,57063
290000,4,1,1330,8184
615000,3,1.75,1900,5000
300000,2,1,1100,7680
308000,3,1,1980,39150
750000,3,2.5,2400,7745
2.25E+06,4,2.25,4760,8036
890000,4,3.25,3180,194278
288000,3,1,1190,7560
190000,2,1,630,6000
515000,5,3,2530,5105
235000,4,1.5,1690,11054
275000,2,1,940,5000
727500,2,2,1240,9119
650000,4,2.5,3040,6587
1.60E+06,6,5,6050,230652
365000,4,1,1590,7085
662000,3,1.75,2500,36947
270500,3,2.5,1780,7848
200000,2,1.5,1360,1898
970000,4,3.25,4740,76230
160000,3,1.5,1010,9600
204000,3,1,1040,7405
358000,3,2.25,1610,6655
452000,4,1.75,1570,8268
595000,2,2,1510,4000
249000,3,2,1360,6082
346900,4,2.5,1970,5106
2.13E+06,3,2.5,5403,24069
280000,4,2.5,1560,4350
318888,4,1.75,2320,12000
530000,3,2.25,2120,40518
375000,3,2.25,2120,18500
910000,4,2.5,3350,29242
782000,4,2.5,2380,9614
259950,2,2,1070,649
315000,4,2.75,2300,18360
215000,2,1,1320,8865
705000,3,1.75,2180,10221
1.45E+06,3,3,4380,6320
451000,3,1.75,1790,9813
261000,2,1,750,8125
396000,3,1.5,1300,8280
725000,4,2.5,2990,29170
1.95E+06,7,3.5,4640,15235
238000,4,1,1400,7242
750000,6,1.75,2750,9563
331500,4,2.5,2050,10271
460000,4,3,2230,108900
404950,4,2.25,2340,217014
880000,3,2.5,2870,5163
863000,4,2.5,4120,22370
638700,3,1.75,2080,9162
435000,3,2.5,1840,5680
260000,3,1,1180,5350
671500,5,2.75,2160,4000
610000,3,1,1180,3400
405000,2,0.75,1160,15029
338900,4,2.5,1830,5612
720000,4,4,3200,7708
442000,5,3,2560,5445
650000,5,2.75,2550,5040
263500,3,1.75,1330,9917
300000,2,1,1220,75794
266000,3,2.5,1805,3402
930000,4,4,6050,84942
530000,4,2.5,2320,5493
180000,3,1,1384,8960
619000,3,2.5,2720,6439
264000,3,1.5,1820,10608
730000,2,2.25,2130,4920
439000,4,2.25,2060,10070
268500,4,1.75,1420,7500
330000,3,1.75,1510,15744
640000,3,2.5,2160,4000
900000,3,2.5,3180,12600
370000,3,2.25,2110,13300
685000,3,2,2060,2900
505000,3,1.5,1830,217800
265000,3,1.75,1820,32666
290000,3,2.5,1610,2937
296000,4,2.5,1780,3600
360000,4,2.5,1840,9611
240500,3,1.75,1460,10584
372500,2,2.5,1400,2958
595000,3,2.5,3370,14402
515000,4,3,3590,8249
1.22E+06,4,2.25,3200,15367
507000,2,1.75,1670,6460
399950,4,2,2420,31465
185000,3,1.75,1430,10816
460000,3,1.75,1440,7070
435500,3,2.25,1450,4789
469000,4,2.75,3550,13938
531000,2,3,1270,1175
443500,2,1,940,6804
223000,3,2,1670,6824
590000,4,3.5,3100,15842
340000,2,2.5,1100,1760
650000,3,2,1870,3388
533600,3,2.5,1930,5080
695000,3,2.75,2540,4694
242000,3,1.75,1280,7524
425000,3,2.25,1820,8814
525000,3,2.25,1490,9414
485000,3,2.5,1880,5502
175000,3,1,1250,9775
210000,3,2,1440,7210
260000,3,2.5,1920,7415
577000,3,2.5,2060,5750
200000,3,1.5,1210,10588
605000,2,1.75,1760,5000
325000,3,1,990,6750
289500,3,1,960,6400
559950,3,2.5,1660,1458
1.04E+06,3,1.75,1900,9375
543500,3,2.25,1270,2790
480000,4,2.25,3250,34293
218000,3,1,960,9633
565000,2,1.75,1330,6000
426700,3,1.75,2080,7700
650000,3,2.5,2690,11575
542000,2,1,890,3060
415000,3,1.75,1070,8000
214000,3,1,1200,8316
245000,3,1.5,1360,8910
314500,3,2,2050,13303
1.12E+06,3,1.5,3000,5750
378000,2,2,1300,3850
305000,4,2.5,2250,9091
595000,5,2.75,3740,6750
729500,3,2.5,1660,1091
430000,3,2.5,2360,6699
240000,3,1.75,1760,6500
545000,3,1.75,1680,6200
530000,3,1.75,1320,2500
157000,1,1,870,26326
425000,4,1,1260,7645
220000,3,1,1000,6020
521000,4,1.75,2020,36400
325000,3,1,1920,6862
597500,3,2,2150,5400
337000,3,2.5,1470,3976
1.00E+06,3,2.5,3180,10492
3.07E+06,3,2.5,3930,55867
495000,3,1,990,6000
748000,4,3.5,2770,3330
888000,3,1.5,1250,8710
269900,3,1.75,1140,22267
496500,4,2.5,2250,14440
475000,3,2.5,1640,5097
312000,3,1.5,1255,1374
323000,3,1,1290,12231
331000,3,1.75,1300,9079
306000,3,1.5,1220,1086
655000,4,2.5,2630,4000
290000,3,1.5,1950,15954
1.25E+06,4,3.25,3160,5000
460000,3,1.75,1550,4708
435000,4,2.5,1700,6380
664000,4,2.75,2510,11880
865000,4,1.75,1800,4180
385000,3,1.75,1800,18000
497000,3,2.25,1870,9315
280000,2,1,1010,3000
188000,2,1.5,1120,17487
478500,3,1,2090,4755
1.15E+06,4,3.5,4370,18361
222000,3,2,1440,7187
799000,4,3,2580,209523
609900,4,2.5,3190,7399
413000,4,3.5,2380,5809
400000,4,1,1420,4875
802541,5,2.75,2990,6768
320000,3,2.5,2680,7757
507000,4,2.5,2730,7649
387500,3,1,1220,8329
396000,3,1,1500,12616
373000,3,1.75,1830,11788
1.48E+06,5,2.5,4570,19252
359900,4,2.25,2470,7698
410000,2,1,800,4342
690000,4,2.5,2900,23488
245000,3,2,1410,5760
700000,5,2.5,2830,25958
268000,4,1.75,1680,9966
225000,3,1.75,1760,26055
980000,4,2.25,2240,11034
795000,2,1,1380,5000
195000,2,1,820,5100
480000,4,2,2180,10575
485000,4,2,1400,3600
130000,2,1,880,9000
325000,2,1,1060,5703
440000,3,1.75,1530,7245
550000,4,1.75,2480,14782
310000,3,1.75,1490,7150
530000,3,2.5,3660,39478
390000,4,2.5,2340,8548
243000,3,1.75,1450,12125
639000,4,2.5,2210,9875
215000,4,1,1130,7400
405000,5,1.75,1550,10500
250000,4,1.75,1710,7140
405500,3,1.5,1010,8108
452000,6,2.25,2660,13579
730000,6,2.25,2660,13579
267000,3,2,1300,9644
289950,3,2.5,1670,6186
565000,2,1,960,4080
1.58E+06,4,3.25,4670,51836
636000,3,2.5,2140,2770
350000,5,3,2520,5500
320000,3,1.5,1650,9380
210000,2,1.75,1440,5680
245000,2,1,1050,5900
328000,3,1.75,1470,7650
985000,4,2.25,4230,37769
501000,3,1.75,1970,7972
315000,3,2.25,1540,17424
403000,3,2.75,2090,8354
550000,3,2,2380,17950
347500,4,2.5,2156,3562
365000,4,2.25,2070,8893
588000,3,1,1910,8167
605000,3,1.75,1920,7400
1.30E+06,3,3.25,3400,5979
233000,3,2,1400,9177
360000,4,2.5,2210,17715
459000,2,1.75,1170,4887
740000,3,2,2100,72745
305000,3,1,1160,9750
395000,3,1,1500,4000
560000,4,2.5,2940,6000
650000,4,1.75,2010,5070
449950,3,2.5,2170,4912
517500,3,1.5,1430,5200
435000,4,1.5,1510,6460
329999,3,1,1150,6908
950000,3,1.75,2150,4200
447000,3,1,1370,6001
699800,2,2.5,2380,6600
850000,3,1.75,1370,3850
316500,3,1.75,1600,14250
942500,5,3.5,3750,9612
1.31E+06,2,2.25,3950,3938
856600,4,2.25,2400,13430
405600,5,1.5,2830,4000
565000,4,2.5,2440,22594
400000,3,2.25,1190,1149
330000,3,2,1400,218252
374950,4,2.75,2730,4683
405300,3,2.75,2390,7939
560000,3,2.25,2060,31400
824000,4,2.25,2490,9864
260000,3,1.75,1100,10968
760000,4,2.5,2430,6099
405000,3,2.5,3170,12750
429900,4,2.5,2640,8625
341500,3,1.5,1130,7223
465250,5,2,1940,7642
450000,2,2,1100,3000
390000,3,1,1200,10800
420000,3,2.25,2000,8030
269950,3,2.5,1890,4838
493000,4,2,1910,2874
370000,4,2.5,2710,5880
2.25E+06,5,4.25,4860,9453
305000,3,1,1250,23680
400000,3,1.75,1590,8219
320000,3,1.5,1240,1221
715000,4,1,2000,4800
650000,6,2.75,3610,10003
218000,5,1.75,1930,8040
500000,2,1,1280,5400
460000,4,2,2090,40419
232500,3,1.5,1940,9887
408200,3,2.5,1800,5761
522000,3,1.75,1730,8400
675000,4,2.5,2810,11120
1.36E+06,4,3.5,3550,11000
249950,4,1,1330,7980
210000,2,1,750,34133
429950,4,1,1760,7216
737500,4,2.5,3200,36276
710000,4,2,1740,9000
470000,3,2.5,2100,4700
1.10E+06,4,3.5,4270,40097
650000,3,2,1340,2720
1.22E+06,4,2.5,3190,8684
422120,3,2.5,1630,4534
625000,5,2.5,2990,15085
385200,4,1,1550,7740
500000,3,2.25,1690,4964
308000,4,2.25,1960,12243
565000,3,2.75,2390,9966
581000,3,2.5,2600,4438
361000,3,2,1950,8698
345000,3,1,1250,7210
419000,2,2.25,1180,1253
347000,3,2.5,1680,4308
625000,4,2.25,2220,36085
2.40E+06,4,4.25,4890,15188
379000,3,3.25,2660,17852
310000,3,1.5,1150,3323
250000,2,2,1130,5500
682000,5,2.75,2760,5000
246500,3,2,1430,8919
325000,3,1,1490,57381
310950,4,2.5,2030,4997
1.10E+06,3,2,3010,5000
287500,3,1,1810,7200
431000,3,1,1810,7200
226000,3,1,970,5000
825000,3,1.75,2010,3090
175000,4,1,1300,6030
465750,3,1.5,1260,10350
659000,4,2.25,2610,24931
595000,3,1.75,1910,5753
350000,3,2.25,1780,16290
270000,4,2.25,1900,8600
662500,6,2.25,2450,25600
249900,3,1.75,1380,14000
324500,3,1.75,1920,11340
430000,2,1.75,1350,4003
419950,2,1.75,1350,4003
285000,4,1.75,2510,7440
332000,4,2.5,2470,7780
282000,4,1.75,1660,10725
320000,3,1,1340,5175
428750,3,1,1620,30736
330000,3,2.25,2300,35287
456500,4,3.5,2000,2309
352000,3,2.25,1640,11050
664000,4,2,1530,4080
628000,3,1.75,4000,11894
512000,3,1.75,1610,12555
254000,3,2,2070,9000
535800,4,2.5,1900,5790
287653,3,1,1050,16050
438000,3,2.5,1520,1304
450000,4,1.75,2390,23899
327000,5,2.75,2400,8050
370500,4,2.5,1790,6120
265000,3,2.5,1720,6271
450000,4,2.75,2980,13260
425000,3,1,1520,213444
166600,3,1.75,1150,8690
245000,1,0.75,380,15000
565000,3,1,910,5212
539900,3,1.75,1650,10150
910000,3,3.5,2480,3200
280000,4,2.5,2050,7416
275000,3,2.25,1420,8549
467000,3,2.5,3460,6590
457500,3,2.5,1500,4445
381156,2,1,1320,3090
289999,5,2.5,2180,8240
642450,3,1.75,1830,4160
469950,3,2.25,1620,8701
795000,3,2,2920,13650
785000,4,2.5,3300,10514
860000,3,2.25,3060,12095
1.10E+06,0,0,3064,4764
147500,3,1,1530,8498
390000,3,2,1910,11576
229000,3,1,1020,8100
185000,3,1,1150,8100
414900,3,1.5,1260,9570
200000,4,2,1920,4822
225000,4,2.25,1800,9350
720000,3,1.75,2040,4000
930000,4,2.5,2200,4000
1.27E+06,5,2.5,3200,17204
700000,5,3.25,2400,3118
466000,2,1.5,1140,1058
374000,3,1.5,1330,10640
480000,3,2.5,1940,10035
740000,3,2.5,3000,25341
1.01E+06,4,1,1820,5400
395000,4,2.5,2910,5000
340000,2,1,1090,6771
209000,3,2,1230,1340
431650,5,2.5,1710,7700
980000,5,2.5,3160,11470
660000,3,2.5,2680,28243
730000,4,2.25,2190,9009
291500,3,1.75,1260,9600
905000,4,3.5,2970,14486
800000,4,2.5,2570,50308
839900,4,3.5,3810,13592
200000,1,1.5,1010,1157
300000,3,2,1480,6698
530000,3,1.75,1250,6041
314950,3,2.25,1654,8479
255000,3,1.75,1410,9315
550000,5,2.75,2160,5720
435000,3,1,1400,4800
234000,3,1.75,1420,8738
615000,4,2.25,2500,10062
205000,3,2,1410,8384
384000,4,1.75,2100,7135
324000,3,2.5,1750,7208
645000,3,1.75,2070,5500
570000,3,3.25,1570,1777
324000,3,2.5,1920,5322
270000,2,1,1000,10320
290000,5,1.5,2120,7700
250000,3,2,1440,9220
342000,3,1.75,1660,16275
255000,3,1.5,1340,8450
800000,3,2.25,2380,11824
451000,3,1.75,1560,4049
990000,4,2.5,2780,10480
288400,4,2.5,1860,6687
420000,3,1.5,2390,4600
359000,2,2.75,1370,1140
390000,4,3,2570,262018
300000,3,2.5,1320,2614
545000,5,2.5,2520,7863
288349,3,1,1250,18616
299900,3,2.25,1560,35026
891000,4,2,2330,5000
1.20E+06,3,2,3660,22410
378000,4,2.5,2790,4650
299995,2,1,1060,7200
253000,3,2.5,2020,6564
350000,3,2.25,1580,47916
565000,4,3,2020,4300
315000,2,1,970,5665
570000,4,3,1490,6766
971000,5,3.5,4390,10140
915000,5,2.5,2750,5589
419000,4,1.5,2150,23568
260000,4,1.75,1810,7480
1.32E+06,3,3,2230,12968
369950,3,1,2430,10720
1.03E+06,3,2.5,3680,13384
435000,5,1,1410,6750
601000,3,1.75,1330,6743
460500,3,1,1490,10650
720000,3,2.5,2020,1159
851000,4,2.5,3130,13202
550000,4,3,2670,5000
